"ID","Hits","Indirect hits","Conflicts"
"K19572","1","0","1"
"K01114","1","0","1"
"K01520","1","0","1"
"K03639","1","0","1"
"K01079","1","0","0"
"K00919","1","0","0"
"K03858","1","0","0"
"K00700","1","0","0"
"K01239","1","0","1"
"K02229","1","0","0"
"K00033","1","0","0"
"K00547","1","0","1"
"K00325","1","0","1"
"K04718","1","0","0"
"K01055","1","0","0"
"K00097","1","0","0"
"K01712","1","0","0"
"K00357","1","0","0"
"K02535","1","0","0"
"K03434","1","0","0"
"K09020","1","0","0"
"K00981","1","0","0"
"K03336","1","0","0"
"K01596","1","0","1"
"K01735","1","0","0"
"K12448","1","0","0"
"K02189","1","0","0"
"K01899","1","0","1"
"K01963","1","0","1"
"K17108","1","0","0"
"K01254","1","0","0"
"K01930","1","0","1"
"K03750","1","0","1"
"K02434","1","0","0"
"K00895","1","0","1"
"K00074","1","0","0"
"K00867","1","0","1"
"K01784","1","0","0"
"K03849","1","0","0"
"K03517","1","0","0"
"K00949","1","0","0"
"K02536","1","0","0"
"K00972","1","0","1"
"K18082","1","0","0"
"K00606","1","0","0"
"K00888","1","0","0"
"K00261","1","0","1"
"K08679","1","0","0"
"K09471","1","0","0"
"K00737","1","0","0"
"K00145","1","0","0"
"K00137","1","0","1"
"K00254","1","0","0"
"K10026","1","0","0"
"K00734","1","0","0"
"K19269","1","0","1"
"K01800","1","0","0"
"K01621","1","0","0"
"K05294","1","0","0"
"K13509","1","0","1"
"K02500","1","0","0"
"K14163","1","0","1"
"K01952","1","0","0"
"K00648","1","0","0"
"K05878","1","0","0"
"K01135","1","0","0"
"K21032","1","0","0"
"K00992","1","0","0"
"K00041","1","0","0"
"K00847","1","0","1"
"K01486","1","0","0"
"K01689","1","0","0"
"K14459","1","0","0"
"K00014","1","0","0"
"K01903","1","0","1"
"K07441","1","0","0"
"K00901","1","0","1"
"K00995","1","0","0"
"K01483","1","0","0"
"K00915","1","0","0"
"K09882","1","0","0"
"K10712","1","0","0"
"K01956","1","0","1"
"K00130","1","0","1"
"K05304","1","0","0"
"K11472","1","0","1"
"K01565","1","0","0"
"K00301","1","0","1"
"K11754","1","0","1"
"K01693","1","0","0"
"K01858","1","0","0"
"K00694","1","0","0"
"K02232","1","0","0"
"K00874","1","0","0"
"K01733","1","0","0"
"K00983","1","0","0"
"K01749","1","0","0"
"K09018","1","0","0"
"K03147","1","0","0"
"K00950","1","0","0"
"K01793","1","0","0"
"K01953","1","0","1"
"K08281","1","0","0"
"K18081","1","0","0"
"K01589","1","0","0"
"K00878","1","0","0"
"K01923","1","0","1"
"K08963","1","0","0"
"K19873","1","0","0"
"K00609","1","0","1"
"K18201","1","0","0"
"K00075","1","0","0"
"K07542","1","0","0"
"K12353","1","0","0"
"K02228","1","0","0"
"K09680","1","0","1"
"K00595","1","0","0"
"K08322","1","0","0"
"K01886","1","0","0"
"K03474","1","0","0"
"K00911","1","0","0"
"K01776","1","0","0"
"K05287","1","0","0"
"K00042","1","0","0"
"K02435","1","0","0"
"K02577","1","0","0"
"K13240","1","0","0"
"K00655","1","0","1"
"K07404","1","0","1"
"K02366","1","0","0"
"K01921","1","0","0"
"K14410","1","0","1"
"K03621","1","0","1"
"K03431","1","0","0"
"K03335","1","0","0"
"K09024","1","0","0"
"K00104","1","0","1"
"K00761","1","0","0"
"K01969","1","0","0"
"K00133","1","0","0"
"K00948","1","0","0"
"K01074","1","0","1"
"K00894","1","0","0"
"K01489","1","0","0"
"K01569","1","0","0"
"K00012","1","0","0"
"K00322","1","0","1"
"K09903","1","0","1"
"K03635","1","0","0"
"K21418","1","0","0"
"K01560","1","0","0"
"K00720","1","0","0"
"K05292","1","0","0"
"K20278","1","0","0"
"K00820","1","0","1"
"K08729","1","0","0"
"K07102","1","0","0"
"K00640","1","0","0"
"K01685","1","0","0"
"K01428","1","0","0"
"K14286","1","0","0"
"K00791","1","0","0"
"K05606","1","0","0"
"K03464","1","0","0"
"K00138","1","0","1"
"K00767","1","0","0"
"K00750","1","0","0"
"K00971","1","0","1"
"K16371","1","0","0"
"K00019","1","0","0"
"K00318","1","0","1"
"K15371","1","0","1"
"K01231","1","0","0"
"K00851","1","0","0"
"K01752","1","0","1"
"K08351","1","0","0"
"K01941","1","0","0"
"K01611","1","0","0"
"K05289","1","0","0"
"K00819","1","0","0"
"K01778","1","0","0"
"K00077","1","0","0"
"K01631","1","0","0"
"K01581","1","0","0"
"K01494","1","0","0"
"K00040","1","0","0"
"K01841","1","0","0"
"K13711","1","0","0"
"K02502","1","0","0"
"K00502","1","0","0"
"K01835","1","0","1"
"K00088","1","0","0"
"K03735","1","0","0"
"K01823","1","0","0"
"K00703","1","0","0"
"K01099","1","0","0"
"K00966","1","0","1"
"K13503","1","0","0"
"K01523","1","0","0"
"K00693","1","0","0"
"K01198","1","0","0"
"K13506","1","0","1"
"K06125","1","0","1"
"K01713","1","0","0"
"K00228","1","0","0"
"K00733","1","0","0"
"K01591","1","0","1"
"K06920","1","0","0"
"K00778","1","0","0"
"K01496","1","0","0"
"K01466","1","0","0"
"K11529","1","0","0"
"K01598","1","0","1"
"K13609","1","0","0"
"K00846","1","0","0"
"K00253","1","0","0"
"K01634","1","0","0"
"K00857","1","0","1"
"K00928","1","0","0"
"K06041","1","0","0"
"K01473","1","0","0"
"K04518","1","0","0"
"K01897","1","0","1"
"K00135","1","0","1"
"K02517","1","0","0"
"K02793","1","0","1"
"K01031","1","0","0"
"K00010","1","0","0"
"K01951","1","0","0"
"K00677","1","0","0"
"K01900","1","0","1"
"K12350","1","0","0"
"K03527","1","0","0"
"K13247","1","0","0"
"K01586","1","0","0"
"K06240","1","0","1"
"K00764","1","0","0"
"K02501","1","0","0"
"K18676","1","0","1"
"K00101","1","0","1"
"K03861","1","0","0"
"K00450","1","0","0"
"K04486","1","0","0"
"K00472","1","0","0"
"K02438","1","0","1"
"K00963","1","0","1"
"K01487","1","0","0"
"K00822","1","0","1"
"K01924","1","0","0"
"K09883","1","0","0"
"K00956","1","0","1"
"K02230","1","0","0"
"K00259","1","0","1"
"K00789","1","0","0"
"K00884","1","0","0"
"K04092","1","0","0"
"K01429","1","0","0"
"K01627","1","0","0"
"K16163","1","0","0"
"K00548","1","0","1"
"K00889","1","0","0"
"K00736","1","0","0"
"K05288","1","0","0"
"K10572","1","0","0"
"K02204","1","0","0"
"K05283","1","0","0"
"K00645","1","0","1"
"K16794","1","0","0"
"K00481","1","0","0"
"K03857","1","0","0"
"K13786","1","0","0"
"K01597","1","0","0"
"K00629","1","0","1"
"K04719","1","0","0"
"K01676","1","0","1"
"K00697","1","0","1"
"K09021","1","0","0"
"K05291","1","0","0"
"K01519","1","0","1"
"K01578","1","0","0"
"K01640","1","0","0"
"K04097","1","0","0"
"K12256","1","0","0"
"K03185","1","0","1"
"K00449","1","0","0"
"K01961","1","0","1"
"K03337","1","0","0"
"K00560","1","0","0"
"K00816","1","0","0"
"K01424","1","0","1"
"K00324","1","0","1"
"K01201","1","0","0"
"K03736","1","0","0"
"K07750","1","0","0"
"K00688","1","0","1"
"K00738","1","0","0"
"K00305","1","0","1"
"K00800","1","0","0"
"K01032","1","0","0"
"K01633","1","0","0"
"K09472","1","0","0"
"K00766","1","0","0"
"K18086","1","0","0"
"K00003","1","0","0"
"K01493","1","0","0"
"K00500","1","0","0"
"K00304","1","0","1"
"K01847","1","0","0"
"K00790","1","0","0"
"K09474","1","0","1"
"K01745","1","0","0"
"K01011","1","0","0"
"K00115","1","0","1"
"K06127","1","0","1"
"K01902","1","0","1"
"K01817","1","0","0"
"K01785","1","0","0"
"K00387","1","0","0"
"K00651","1","0","0"
"K01690","1","0","0"
"K00731","1","0","0"
"K00726","1","0","0"
"K01933","1","0","1"
"K01251","1","0","0"
"K00757","1","0","0"
"K00930","1","0","0"
"K05351","1","0","0"
"K03179","1","0","1"
"K01087","1","0","1"
"K09880","1","0","0"
"K01934","1","0","0"
"K00381","1","0","0"
"K00854","1","0","0"
"K00264","1","0","1"
"K00975","1","0","0"
"K00923","1","0","0"
"K08683","1","0","1"
"K05879","1","0","0"
"K01962","1","0","1"
"K00036","1","0","0"
"K04710","1","0","0"
"K00020","1","0","1"
"K02554","1","0","0"
"K01638","1","0","0"
"K01044","1","0","0"
"K07106","1","0","0"
"K00099","1","0","0"
"K15634","1","0","1"
"K00315","1","0","0"
"K01857","1","0","0"
"K01719","1","0","0"
"K13523","1","0","1"
"K01945","1","0","1"
"K00627","1","0","0"
"K01194","1","0","0"
"K00902","1","0","0"
"K01939","1","0","0"
"K06131","1","0","0"
"K02437","1","0","0"
"K00016","1","0","1"
"K03786","1","0","0"
"K00299","1","0","0"
"K00802","1","0","0"
"K00729","1","0","0"
"K01468","1","0","0"
"K00162","1","0","0"
"K10158","1","0","0"
"K08678","1","0","0"
"K00914","1","0","0"
"K00266","1","0","1"
"K11147","1","0","1"
"K10764","1","0","0"
"K03526","1","0","0"
"K01679","1","0","1"
"K18083","1","0","0"
"K02563","1","0","0"
"K03637","1","0","1"
"K03860","1","0","0"
"K02303","1","0","0"
"K08074","1","0","1"
"K00008","1","0","0"
"K05285","1","0","0"
"K00793","1","0","0"
"K07819","1","0","0"
"K00953","1","0","1"
"K01714","1","0","0"
"K00758","1","0","0"
"K00021","1","0","0"
"K01635","1","0","0"
"K03103","1","0","0"
"K01965","1","0","0"
"K08660","1","0","0"
"K14677","1","0","1"
"K01966","1","0","0"
"K00039","1","0","0"
"K02377","1","0","0"
"K05858","1","0","0"
"K00215","1","0","0"
"K00252","1","0","0"
"K01116","1","0","0"
"K00302","1","0","1"
"K03850","1","0","0"
"K03430","1","0","0"
"K01490","1","0","0"
"K00803","1","0","0"
"K01684","1","0","0"
"K08591","1","0","1"
"K00147","1","0","1"
"K01441","1","0","0"
"K00139","1","0","1"
"K05284","1","0","0"
"K06210","1","0","1"
"K04712","1","0","0"
"K02367","1","0","0"
"K00148","1","0","0"
"K20730","1","0","0"
"K20279","1","0","0"
"K00912","1","0","0"
"K00265","1","0","1"
"K00864","1","0","0"
"K15779","1","0","1"
"K17103","1","0","0"
"K01588","1","0","0"
"K01916","1","0","1"
"K04708","1","0","0"
"K11473","1","0","1"
"K01816","1","0","0"
"K00314","1","0","1"
"K01958","1","0","0"
"K00453","1","0","0"
"K05293","1","0","0"
"K13060","1","0","0"
"K02433","1","0","0"
"K00064","1","0","0"
"K00503","1","0","0"
"K06928","1","0","0"
"K05286","1","0","0"
"K00390","1","0","0"
"K00859","1","0","1"
"K01649","1","0","0"
"K01801","1","0","0"
"K07541","1","0","0"
"K01929","1","0","0"
"K01834","1","0","1"
"K01885","1","0","1"
"K00674","1","0","0"
"K11517","1","0","1"
"K01637","1","0","0"
"K03153","1","0","0"
"K00030","1","0","1"
"K01609","1","0","0"
"K01968","1","0","0"
"K00845","1","0","1"
"K00858","1","0","1"
"K08964","1","0","0"
"K01091","1","0","1"
"K01057","1","0","1"
"K02564","1","0","1"
"K01000","1","0","0"
"K01474","1","0","0"
"K00772","1","0","0"
"K09457","1","0","0"
"K13273","1","0","0"
"K05290","1","0","0"
"K01001","1","0","0"
"K01228","1","0","0"
"K03847","1","0","0"
"K00161","1","0","0"
"K00891","1","0","0"
"K01809","1","0","0"
"K01814","1","0","0"
"K01465","1","0","1"
"K05607","1","0","1"
"K09023","1","0","0"
"K03859","1","0","0"
"K00486","1","0","0"
"K01950","1","0","1"
"K08738","1","0","0"
"K15730","1","0","0"
"K01792","1","0","1"
"K01845","1","0","0"
"K01707","1","0","0"
"K00768","1","0","0"
"K00448","1","0","0"
"K01686","1","0","0"
"K12351","1","0","0"
"K09459","1","0","0"
"K00861","1","0","1"
"K01008","1","0","0"
"K15013","1","0","1"
"K00451","1","0","0"
"K11155","1","0","0"
"K16795","1","0","0"
"K13766","1","0","1"
"K01012","1","0","0"
"K00979","1","0","0"
"K03338","1","0","0"
"K01840","1","0","1"
"K01937","1","0","0"
"K03331","1","0","0"
"K05309","1","0","0"
"K00365","1","0","0"
"K01955","1","0","1"
"K01922","1","0","1"
"K14464","1","0","0"
"K10532","1","0","0"
"K00117","1","0","1"
"K02160","1","0","1"
"K01836","1","0","0"
"K06998","0","0","0"
"K10203","0","0","0"
"K00006","0","0","0"
"K20449","0","0","0"
"K19177","0","0","0"
"K01781","0","0","0"
"K03897","0","0","0"
"K02510","0","0","0"
"K01070","0","0","0"
"K05710","0","0","0"
"K10621","0","0","0"
"K01628","0","0","0"
"K00363","0","0","0"
"K01101","0","0","0"
"K18029","0","0","0"
"K01912","0","0","0"
"K00111","0","0","0"
"K10680","0","0","0"
"K20807","0","0","0"
"K00808","0","0","0"
"K16844","0","0","0"
"K00355","0","0","0"
"K12505","0","0","0"
"K00067","0","0","0"
"K03519","0","0","0"
"K02364","0","0","0"
"K03380","0","0","0"
"K10258","0","0","0"
"K10221","0","0","0"
"K03809","0","0","0"
"K02523","0","0","0"
"K01576","0","0","0"
"K01750","0","0","0"
"K12504","0","0","0"
"K20942","0","0","0"
"K00485","0","0","0"
"K01512","0","0","0"
"K18334","0","0","0"
"K01799","0","0","0"
"K18541","0","0","0"
"K03520","0","0","0"
"K04100","0","0","0"
"K06193","0","0","0"
"K17836","0","0","0"
"K05955","0","0","0"
"K01502","0","0","0"
"K01790","0","0","0"
"K19191","0","0","0"
"K01721","0","0","0"
"K01060","0","0","0"
"K01734","0","0","0"
"K00362","0","0","0"
"K03823","0","0","0"
"K00529","0","0","0"
"K10106","0","0","0"
"K16514","0","0","0"
"K19267","0","0","0"
"K00973","0","0","0"
"K00806","0","0","0"
"K04101","0","0","0"
"K01710","0","0","0"
"K03781","0","0","0"
"K05954","0","0","0"
"K03518","0","0","0"
"K01443","0","0","0"
"K16873","0","0","0"
"K10703","0","0","0"
"K14977","0","0","0"
"K10622","0","0","0"
"K11778","0","0","0"
"K14083","0","0","0"
"K01426","0","0","0"
"K00057","0","0","0"
"K00587","0","0","0"
"K00372","0","0","0"
"K20941","0","0","0"
"K05357","0","0","0"
"K10218","0","0","0"
"K03562","0","0","0"
"K00944","0","0","0"
"K10249","0","0","0"
"K01004","0","0","0"
"K15890","0","0","0"
"K15054","0","0","0"
"K01820","0","0","0"
"K08658","0","0","0"
"K06013","0","0","0"
"K00023","0","0","0"
"K18030","0","0","0"
"K18335","0","0","0"
"K06606","0","0","0"
"K16841","0","0","0"